property1,section,ticket,type,price,lat,lon
Clyston Mill,Whole property,Adult,Gift aid,N/A,50.76572970,-3.44753380
Clyston Mill,Whole property,Adult,Standard,£5.80,50.76572970,-3.44753380
Clyston Mill,Whole property,Child,Gift aid,N/A,50.76572970,-3.44753380
Clyston Mill,Whole property,Child,Standard,£2.90,50.76572970,-3.44753380
Clyston Mill,Whole property,Family,Gift aid,N/A,50.76572970,-3.44753380
Clyston Mill,Whole property,Family,Standard,£14.50,50.76572970,-3.44753380
Clyston Mill,Whole property,1 adult,Gift aid,N/A,50.76572970,-3.44753380
Clyston Mill,Whole property,1 adult,Standard,£8.70,50.76572970,-3.44753380
The White Cliffs of Dover,Car parking charge (per car),Adult,Gift aid,N/A,51.13220500,1.33902600
The White Cliffs of Dover,Car parking charge (per car),Adult,Standard,£4.00,51.13220500,1.33902600
The White Cliffs of Dover,Fan Bay Deep Shelter,Adult,Gift aid,N/A,51.13220500,1.33902600
The White Cliffs of Dover,Fan Bay Deep Shelter,Adult,Standard,£10.00,51.13220500,1.33902600
The White Cliffs of Dover,Fan Bay Deep Shelter,Child,Gift aid,N/A,51.13220500,1.33902600
The White Cliffs of Dover,Fan Bay Deep Shelter,Child,Standard,£5.00,51.13220500,1.33902600
Sutton House and Breaker's Yard,Whole property,Adult,Gift aid,£7.00,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Adult,Standard,£6.30,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Child,Gift aid,£3.50,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Child,Standard,£3.00,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Family,Gift aid,£17.50,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Family,Standard,£15.50,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,One adult two Children,Gift aid,£10.50,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,One adult two Children,Standard,£9.50,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Group Adult,Gift aid,N/A,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Group Adult,Standard,£5.40,51.54800000,-0.04921000
Clyston Mill,Whole property,Adult,Gift aid,N/A,50.76572970,-3.44753380
Clyston Mill,Whole property,Adult,Standard,£5.80,50.76572970,-3.44753380
Clyston Mill,Whole property,Child,Gift aid,N/A,50.76572970,-3.44753380
Clyston Mill,Whole property,Child,Standard,£2.90,50.76572970,-3.44753380
Clyston Mill,Whole property,Family,Gift aid,N/A,50.76572970,-3.44753380
Clyston Mill,Whole property,Family,Standard,£14.50,50.76572970,-3.44753380
Clyston Mill,Whole property,1 adult,Gift aid,N/A,50.76572970,-3.44753380
Clyston Mill,Whole property,1 adult,Standard,£8.70,50.76572970,-3.44753380
The White Cliffs of Dover,Car parking charge (per car),Adult,Gift aid,N/A,51.13220500,1.33902600
The White Cliffs of Dover,Car parking charge (per car),Adult,Standard,£4.00,51.13220500,1.33902600
The White Cliffs of Dover,Fan Bay Deep Shelter,Adult,Gift aid,N/A,51.13220500,1.33902600
The White Cliffs of Dover,Fan Bay Deep Shelter,Adult,Standard,£10.00,51.13220500,1.33902600
The White Cliffs of Dover,Fan Bay Deep Shelter,Child,Gift aid,N/A,51.13220500,1.33902600
The White Cliffs of Dover,Fan Bay Deep Shelter,Child,Standard,£5.00,51.13220500,1.33902600
Sutton House and Breaker's Yard,Whole property,Adult,Gift aid,£7.00,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Adult,Standard,£6.30,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Child,Gift aid,£3.50,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Child,Standard,£3.00,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Family,Gift aid,£17.50,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Family,Standard,£15.50,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,One adult two Children,Gift aid,£10.50,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,One adult two Children,Standard,£9.50,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Group Adult,Gift aid,N/A,51.54800000,-0.04921000
Sutton House and Breaker's Yard,Whole property,Group Adult,Standard,£5.40,51.54800000,-0.04921000
